ts_event,open,high,low,close,volume,volume_A,volume_B,volume_N
2024-05-23 00:00:00-04:00,5361.0,5368.25,5273.5,5292.5,1914168,957812,956309,47
2024-05-24 00:00:00-04:00,5292.75,5329.25,5286.0,5320.75,1160868,579399,581469,0
2024-05-26 00:00:00-04:00,5321.75,5324.25,5312.5,5316.5,17879,9170,8679,30
2024-05-27 00:00:00-04:00,5316.75,5335.0,5316.25,5329.5,93507,46405,47062,40
2024-05-28 00:00:00-04:00,5329.75,5339.0,5296.75,5307.25,1262491,623729,638737,25
2024-05-29 00:00:00-04:00,5307.5,5310.25,5256.0,5258.25,1397588,702777,694732,79
2024-05-30 00:00:00-04:00,5258.25,5277.0,5234.5,5246.0,1397058,683631,713299,128
2024-05-31 00:00:00-04:00,5246.25,5307.0,5205.5,5299.25,2241462,1127662,1113800,0
2024-06-02 00:00:00-04:00,5299.5,5311.0,5290.25,5307.75,59629,28432,31095,102
2024-06-03 00:00:00-04:00,5307.5,5313.25,5246.75,5299.25,1703347,843260,860063,24
2024-06-04 00:00:00-04:00,5299.25,5314.75,5262.0,5313.5,1641905,813387,828511,7
2024-06-05 00:00:00-04:00,5313.5,5372.75,5305.5,5369.75,1357466,670665,686368,433
2024-06-06 00:00:00-04:00,5370.0,5373.25,5345.25,5366.75,1165751,582647,583067,37
2024-06-07 00:00:00-04:00,5367.0,5385.5,5329.0,5353.5,1476864,743778,733086,0
2024-06-09 00:00:00-04:00,5351.5,5360.5,5348.25,5356.0,28000,13984,13913,103
2024-06-10 00:00:00-04:00,5355.75,5375.75,5338.25,5366.0,1124056,558031,565983,42
2024-06-11 00:00:00-04:00,5366.0,5387.5,5334.5,5387.25,1317778,650670,667071,37
2024-06-12 00:00:00-04:00,5387.0,5454.5,5385.0,5440.75,1720212,868036,850718,1458
2024-06-13 00:00:00-04:00,5440.75,5452.75,5408.5,5441.25,1321074,663234,657830,10
2024-06-14 00:00:00-04:00,5441.25,5443.0,5397.75,5435.75,1068390,532796,535400,194
2024-06-16 00:00:00-04:00,5435.5,5439.75,5432.0,5435.75,11363,5697,5623,43
2024-06-17 00:00:00-04:00,5435.75,5494.0,5424.75,5478.5,443482,217506,225960,16
2024-06-18 00:00:00-04:00,5478.5,5498.0,5473.5,5492.25,204390,100959,103430,1
