datetime,close,open,high,low,trade_type,signals
27-02-2022 18:00,2737.07,2764.52,2767.87,2727.91,NONE,0
27-02-2022 19:00,2605.89,2737.08,2746.86,2594,NONE,0
27-02-2022 20:00,2631.68,2605.85,2658.35,2582.59,NONE,0
27-02-2022 21:00,2600.74,2631.67,2636.04,2553.68,NONE,0
27-02-2022 22:00,2627.9,2600.74,2637.54,2592.49,NONE,0
27-02-2022 23:00,2615.99,2627.9,2632.21,2577.02,NONE,0
28-02-2022 00:00,2603.85,2615.99,2625.16,2587.17,NONE,0
28-02-2022 01:00,2641.91,2604.11,2678.85,2603.31,NONE,0
28-02-2022 02:00,2610.51,2642.05,2652.05,2590,NONE,0
28-02-2022 03:00,2605.81,2610.5,2618.76,2597.51,NONE,0
28-02-2022 04:00,2609.02,2605.98,2631.14,2600.32,NONE,0
28-02-2022 05:00,2608.55,2608.92,2622.22,2600.85,NONE,0
28-02-2022 06:00,2605.26,2608.55,2631.8,2565,NONE,0
28-02-2022 07:00,2634.06,2605.64,2651.91,2597.73,NONE,0
28-02-2022 08:00,2623.93,2634.2,2658,2615.09,NONE,0
28-02-2022 09:00,2609.84,2623.99,2641.26,2609.56,NONE,0
28-02-2022 10:00,2639.01,2609.85,2646.48,2609.56,NONE,0
28-02-2022 11:00,2638.97,2639.02,2645.7,2620,NONE,0
28-02-2022 12:00,2633.57,2638.97,2664.64,2624.61,NONE,0
28-02-2022 13:00,2616.41,2633.57,2639.12,2605.29,NONE,0
28-02-2022 14:00,2756.05,2616.41,2762.63,2614.51,NONE,0
28-02-2022 15:00,2814.22,2756.06,2829.07,2737.78,NONE,0
28-02-2022 16:00,2810.87,2814.22,2830,2795.66,NONE,0
28-02-2022 17:00,2821.29,2810.9,2822,2788.01,NONE,0
28-02-2022 18:00,2807.4,2821.29,2824.05,2795.01,NONE,0
28-02-2022 19:00,2807.36,2807.39,2809.71,2790.06,NONE,0
28-02-2022 20:00,2833.03,2807.36,2838.99,2794.77,NONE,0
28-02-2022 21:00,2819.18,2833.04,2833.51,2807.66,NONE,0
28-02-2022 22:00,2896.68,2819.19,2966,2818.45,NONE,0
28-02-2022 23:00,2920.1,2896.64,2924.76,2891.5,NONE,0
01-03-2022 00:00,2947.44,2920.05,2974.44,2919.03,NONE,0
01-03-2022 01:00,2917.25,2947.45,2950,2912.99,NONE,0
01-03-2022 02:00,2917.35,2917.26,2921.6,2904.61,NONE,0
01-03-2022 03:00,2911.82,2917.23,2918.55,2890.07,NONE,0
01-03-2022 04:00,2924.33,2911.82,2934.62,2905.38,NONE,0
01-03-2022 05:00,2912.78,2924.33,2934.12,2904.7,NONE,0
01-03-2022 06:00,2916.57,2912.77,2922.49,2881,NONE,0
01-03-2022 07:00,2921.56,2916.42,2931.03,2913.49,NONE,0
01-03-2022 08:00,2922.83,2921.56,2934.41,2906.11,NONE,0
01-03-2022 09:00,2895.18,2922.74,2922.77,2885.83,NONE,0
01-03-2022 10:00,2920.13,2895.19,2921.5,2852.2,NONE,0
01-03-2022 11:00,2902.4,2920.13,2930,2886.13,NONE,0
01-03-2022 12:00,2949.18,2902.41,2954.43,2898.2,NONE,0
01-03-2022 13:00,3018.08,2949.17,3032.48,2942.85,NONE,0
01-03-2022 14:00,2972.78,3018.08,3036,2967.12,NONE,0
01-03-2022 15:00,2949.2,2972.77,2985.25,2925.12,NONE,0
01-03-2022 16:00,2906.21,2949.2,2969.28,2896.7,NONE,0
01-03-2022 17:00,2934.12,2906.35,2959.4,2903.16,NONE,0
01-03-2022 18:00,2952.85,2934.43,2959.96,2913.44,NONE,0
01-03-2022 19:00,2945.89,2952.85,2976.02,2941.98,NONE,0
01-03-2022 20:00,2972.79,2946.1,2976.81,2943.26,NONE,0
01-03-2022 21:00,2954.42,2972.79,2979.98,2936.77,NONE,0
01-03-2022 22:00,2973.38,2954.61,2975,2943.78,ENTRY LONG,1
